SafeTCPF Experiment Log Initialized.
[2026-06-25 19:41:25] Scen=Motorcade, Algo=TC-CBS-t, Ped=low, Succ=1, Nodes=229, Time=0.102s
[2026-06-25 19:41:25] Scen=Motorcade, Algo=TC-CBS-t, Ped=medium, Succ=1, Nodes=108, Time=0.064s
[2026-06-25 19:41:30] Scen=Motorcade, Algo=TC-CBS-t, Ped=high, Succ=0, Nodes=0, Time=5.719s
[2026-06-25 19:41:31] Scen=Motorcade, Algo=TC-ICBS, Ped=low, Succ=1, Nodes=151, Time=0.146s
[2026-06-25 19:41:31] Scen=Motorcade, Algo=TC-ICBS, Ped=medium, Succ=1, Nodes=85, Time=0.112s
[2026-06-25 19:41:34] Scen=Motorcade, Algo=TC-ICBS, Ped=high, Succ=1, Nodes=947, Time=3.732s
[2026-06-25 19:41:34] Scen=FourTeams, Algo=TC-CBS-t, Ped=low, Succ=1, Nodes=21, Time=0.012s
[2026-06-25 19:41:34] Scen=FourTeams, Algo=TC-CBS-t, Ped=medium, Succ=1, Nodes=14, Time=0.016s
[2026-06-25 19:41:35] Scen=FourTeams, Algo=TC-CBS-t, Ped=high, Succ=1, Nodes=61, Time=0.048s
[2026-06-25 19:41:35] Scen=FourTeams, Algo=TC-ICBS, Ped=low, Succ=1, Nodes=23, Time=0.046s
[2026-06-25 19:41:35] Scen=FourTeams, Algo=TC-ICBS, Ped=medium, Succ=1, Nodes=13, Time=0.019s
[2026-06-25 19:41:35] Scen=FourTeams, Algo=TC-ICBS, Ped=high, Succ=1, Nodes=16, Time=0.033s
[2026-06-25 19:50:33] Scen=Motorcade, Algo=TC-CBS-t, Ped=low, Succ=1, Nodes=229, Time=0.100s
[2026-06-25 19:50:33] Scen=Motorcade, Algo=TC-CBS-t, Ped=medium, Succ=1, Nodes=108, Time=0.066s
[2026-06-25 19:50:39] Scen=Motorcade, Algo=TC-CBS-t, Ped=high, Succ=0, Nodes=0, Time=5.528s
[2026-06-25 19:50:39] Scen=Motorcade, Algo=TC-ICBS, Ped=low, Succ=1, Nodes=151, Time=0.155s
[2026-06-25 19:50:39] Scen=Motorcade, Algo=TC-ICBS, Ped=medium, Succ=1, Nodes=85, Time=0.098s
[2026-06-25 19:50:43] Scen=Motorcade, Algo=TC-ICBS, Ped=high, Succ=1, Nodes=947, Time=3.498s
[2026-06-25 19:50:43] Scen=FourTeams, Algo=TC-CBS-t, Ped=low, Succ=1, Nodes=21, Time=0.016s
[2026-06-25 19:50:43] Scen=FourTeams, Algo=TC-CBS-t, Ped=medium, Succ=1, Nodes=14, Time=0.011s
[2026-06-25 19:50:43] Scen=FourTeams, Algo=TC-CBS-t, Ped=high, Succ=1, Nodes=61, Time=0.037s
[2026-06-25 19:50:43] Scen=FourTeams, Algo=TC-ICBS, Ped=low, Succ=1, Nodes=23, Time=0.038s
[2026-06-25 19:50:43] Scen=FourTeams, Algo=TC-ICBS, Ped=medium, Succ=1, Nodes=13, Time=0.019s
[2026-06-25 19:50:43] Scen=FourTeams, Algo=TC-ICBS, Ped=high, Succ=1, Nodes=16, Time=0.030s
[2026-06-25 19:53:23] Scen=Motorcade, Algo=TC-CBS-t, Ped=low, Succ=1, Nodes=229, Time=0.108s
[2026-06-25 19:53:23] Scen=Motorcade, Algo=TC-CBS-t, Ped=medium, Succ=1, Nodes=108, Time=0.062s
[2026-06-25 19:53:28] Scen=Motorcade, Algo=TC-CBS-t, Ped=high, Succ=0, Nodes=0, Time=5.436s
[2026-06-25 19:53:28] Scen=Motorcade, Algo=TC-ICBS, Ped=low, Succ=1, Nodes=151, Time=0.140s
